,Tweet,label
0,"Well, where are the parents at Madrasah Pan, the parents don't have to go to school or go to high school, expensive schools teach outside the classroom, play parents, teach online classes",1
1,online teaching spirit,1
2,stuttering digital literacy online teaching parents rempong political angry blogging at home,-1
3,"it doesn't go online smoothly, yes, one of the houses does not provide internet signal, the child doesn't give maximum guidance, when you teach, you're excited, right?",1
4,"material stress, ask to teach online last night",-1
5,"the comment column, yes, knightairlangga, UNAIR newnormal, students, Airlangga University, Airlangga University, Airlangga, online learning",1
6,I'm not strong online I swear it's hard to teach,-1
7,"Actually, it's really good to be online if you don't know how to watch recordings, then when you're free to teach, it's not good to have a lot of work",1
8,get free quota to support online teaching wfh fyuhh,1
9,"Don't play on twitter, bro, ask if you can complain, teach online",-1
10,"I'm still flexible in teaching good GPA test scores online, I miss you",1
11,teach online bookek to buy credit,1
12,"Gosh, my friend struggles because online lectures don't stop teaching, yes, college is paid for by the state, but if you're in a gin condition, really press down on the sender gin value.",1
13,teach the thread highlight bro Fauzan open online puebi kbbi bb,1
14,"Yes, online teaching isn't really that effective in class",-1
15,"I regret taking matkul, choosing a semester, I intend to teach online system maps, I'm stupid, the laptop map is not responding to the project, then FVCK gangerti Samsek",-1
16,heh I mean the hashtag bring college student wkwkwkwk I'm not strong enough to teach online,-1
17,"try the condition, hopefully it helps online teaching children for Indonesian children, it's better to have a library",1
18,Can you help all uni who are present to teach online campus,1
19,"a letter issued by the director general of education, tri-education of culture, number ee, km helps students online teaching facilities, where is the framework for student facilities to focus on teaching at home, unand don't be stingy",1
20,get down mentally teaching online makes people emotional,1
21,"I'm sad when I know that in the online teaching semester, the children in the semester don't remember the physical campus, they're already alumni",-1
22,"Saying that teaching online is a lie, it's really a lie, you can't get a semester lecturer who's gone, you know giving assignments, you don't pass, students don't get knowledge, students are independent, internet access is fragile",1
23,"can you get it from online teaching sharing, bro, I'll copy it",1
24,"teachers forget to teach online, different teaching offline, class teacher interaction, students are broad, classroom atmosphere is an effort for children to understand easy teaching content in class",1
25,teach online the maximum value of Gorontalo deprov meeting Dikbudpora,1
26,"hello friends, ut batam, let's join the interactive talkshow, tutorial material manager for ut batam, adisti yuliastrin",1
27,"self-distancing work from home, the house that has the same interaction with the children, running, teaching them where to go, teaching them online, picking up their laptop, so tired",-1
28,"effective online teaching, the internet barrier, teacher, student, smartphone",1
29,"Operational computer matkul SPSS statistical material is in the semester for multiple linear regression, confused variables, teaching math online is not good at all",-1
30,tactics for a dry atmosphere that makes it boring to teach online blogging at home,-1
31,"consider online teaching and learning rpp teachers like local internet connection access limits, so bjj is less effective teaching results report teacher called",1
32,the green zone is active in teaching Malang district online,1
33,"open discussion on covid, state hand perspective teaches Fisip alumni who study country tonight, online discussion on covid hand pattern, teach state don't pass",1
34,"Teaching online in the teacher's room is epic, isn't it, you've already paid millions of online lectures, but take turns, but sktm campus jokes v",1
35,"Brother, near Alas Purwo, an appeal for online teaching, watching TV, being active and not teaching, has resulted in the destruction of the Tarkam Gardens",-1
36,"easy house, parents demand to accompany children to teach online",1
37,"salute, ebong, counting ihk, you can teach online, don't invite",-1
38,"online lectures teach onglen at home I'm afraid to be stupid, my teaching type immediately understands",-1
39,online teaching using ppt g meet psychological a little disturbed,-1
40,"haisedare the value of ketige and the cadre school of participatory watchful skpp online, originally from East Belitung Regency, the spirit of teaching",1
41,"teach priority management nder alias woyy nderr cellphone just like that, showing off my friend doesn't teach online mode using a cellphone that is very selfish hehe",1
42,"let's teach language online for free on Sunday, bring the theme of online language teaching class, bd class, come on Sunday, it's free, tis tis register",1
43,"Insolent online at home, you can learn morals like school",1
44,"rumors for online, even if you teach me, just bomb it if you go online",-1
45,"General Pakde, work, home, teaching, house, circular, campus, moving college, full online house, e-learning, good news for the fallen, face-to-face lectures, danger",-1
46,"bang, is it true that you teach home to online ppdb online mpls how do you understand it",1
47,"Do you really have to go to the education office, min, make the task of teaching children online, dizzy, min, dizzy",-1
